OBJECTID,ACCIDENTNUM,ACCIDENTDATE,ACCIDENT_YEAR,ACCIDENT_MONTH,ACCIDENT_DAY,ACCIDENT_HOUR,ACCIDENT_MINUTE,ACCIDENT_SECOND,ACCIDENT_WEEKDAY,XCOORD,YCOORD,LONGITUDE,LATITUDE,ACCIDENTLOCATION,COLLISIONTYPE,CLASSIFICATIONOFACCIDENT,IMPACTLOCATION,INITIALDIRECTIONOFTRAVELONE,INITIALDIRECTIONOFTRAVELTWO,INITIALIMPACTTYPE,INTTRAFFICCONTROL,LIGHT,LIGHTFORREPORT,ROADJURISDICTION,TRAFFICCONTROL,TRAFFICCONTROLCONDITION,THRULANENO,NORTHBOUNDDISOBEYCOUNT,SOUTHBOUNDDISOBEYCOUNT,PEDESTRIANINVOLVED,CYCLISTINVOLVED,MOTORCYCLISTINVOLVED,ENVIRONMENTCONDITION1,ENVIRONMENTCONDITION2,SELFREPORTED,XMLIMPORTNOTES,LASTEDITEDDATE,CREATE_BY,CREATE_DATE
46037,17-000048,1483233000000,2017,1,1,1,10,0,Sunday,545627.61557,4803990.12191,-80.436661,43.387405,Non intersection,2,P.D. only,Thru lane,unknown,unknown,Sideswipe,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,DOON MILLS DR; DOON MILLS DR ; Near; 1 M,3/7/2019 1:18:27 PM,,
46038,17-000228,1483261560000,2017,1,1,9,6,0,Sunday,544066.95338,4808510.71241,-80.45556499999999,43.428202,At intersection,2,P.D. only,Within intersection,unknown,unknown,SMV other,Unknown,Daylight,01 - Daylight,Regional municipality,Stop sign,Functioning,0,0,0,False,False,False,Snow,,False,CLARK AVE ; WILSON AVE,3/7/2019 1:18:26 PM,,
46039,17-000231,1483261980000,2017,1,1,9,13,0,Sunday,543062.42718,4809705.89236,-80.46788099999999,43.439022,Non intersection,2,P.D. only,Not on roadway - left side,unknown,unknown,SMV other,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,PRESTON ST ; FLORAL CRES ; Near; 50 M,3/7/2019 1:18:25 PM,,
46040,17-000249,1483264380000,2017,1,1,9,53,0,Sunday,539370.38717,4809174.12616,-80.51353999999999,43.434436999999996,Non intersection,2,Non-reportable,Off highway,unknown,unknown,SMV other,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,OVERLEA DR; WESTMOUNT RD W ; Near; 100 M,3/7/2019 1:18:24 PM,,
46041,17-000413,1483286940000,2017,1,1,16,9,0,Sunday,543247.84025,4804518.43924,-80.46600000000001,43.392303,At intersection,2,P.D. only,Within intersection,unknown,unknown,Angle,Unknown,Daylight,01 - Daylight,Regional municipality,Yield sign,Functioning,0,0,0,False,False,False,Clear,,False,HURON RD; STRASBURG RD,3/7/2019 1:18:23 PM,,
46042,17-000620,1483308180000,2017,1,1,22,3,0,Sunday,543956.03403,4808921.80932,-80.456902,43.431909999999995,At intersection,2,P.D. only,Within intersection,unknown,unknown,SMV other,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,,False,CONNAUGHT ST; SECOND AVE,3/7/2019 1:18:21 PM,,
46043,17-000826,1483293600000,2017,1,1,18,0,0,Sunday,539569.94818,4805806.0508,-80.511318,43.4041,Intersection related,2,P.D. only,Thru lane,unknown,unknown,Rear end,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,,False,DONNENWERTH DR; BRIDLEWREATH ST,3/7/2019 1:18:20 PM,,
46044,17-000900,1483259400000,2017,1,1,8,30,0,Sunday,544036.03912,4807717.26702,-80.45601099999999,43.42106,Non intersection,2,P.D. only,Thru lane,unknown,unknown,SMV unattended vehicle,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,VANIER DR; VANIER DR,3/7/2019 1:18:19 PM,,
46045,17-001024,1483369980000,2017,1,2,15,13,0,Monday,542313.96325,4810286.93255,-80.47708399999999,43.444297,Non intersection,2,P.D. only,Thru lane,unknown,unknown,Rear end,Unknown,Daylight,01 - Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,,False,KING ST E; STIRLING AVE N; Near; 10 M,3/7/2019 1:18:18 PM,,
46047,17-001576,1483443840000,2017,1,3,11,44,0,Tuesday,541068.0,4811108.0,0.0,0.0,At intersection,2,P.D. only,Within intersection,unknown,unknown,Angle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Rain,,False,SEABROOK DR; APPLEBY ST,3/7/2019 1:18:16 PM,,
46048,17-001622,1483447380000,2017,1,3,12,43,0,Tuesday,537354.90367,4808200.83213,-80.53850899999999,43.425777,At/near private drive,2,P.D. only,Thru lane,unknown,unknown,SMV unattended vehicle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Rain,,False,MONTANA CRES; MONTANA CRES ; Near; 8 M,3/7/2019 1:18:15 PM,,
46049,17-001647,1483449540000,2017,1,3,13,19,0,Tuesday,540171.54991,4809415.79346,-80.50362299999999,43.436571,At intersection,2,P.D. only,Within intersection,unknown,unknown,Angle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),Traffic signal,Functioning,0,0,1,False,False,False,Rain,,False,QUEENS BLVD; BELMONT AVE E,3/7/2019 1:18:14 PM,,
46050,17-002402,1483533780000,2017,1,4,12,43,0,Wednesday,544116.80457,4811898.31669,-80.454675,43.458701,At intersection,2,P.D. only,Within intersection,unknown,unknown,Angle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Snow,,False,MANCHESTER RD; RIVER RD E,3/7/2019 1:18:13 PM,,
46051,17-002561,1483547400000,2017,1,4,16,30,0,Wednesday,542581.14161,4810125.60646,-80.473795,43.442828999999996,At intersection,2,P.D. only,Within intersection,unknown,unknown,Angle,Unknown,Dusk,05 - Dusk,Regional municipality,Traffic signal,Functioning,0,0,0,False,False,False,Snow,,False,BORDEN AVE N; KING ST E,3/7/2019 1:18:12 PM,,
46052,17-002849,1483581600000,2017,1,5,2,0,0,Thursday,547716.59288,4804214.35301,-80.41085199999999,43.389295,Other,2,P.D. only,Off highway,unknown,unknown,SMV other,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Snow,,False,CONESTOGA COLLEGE BLVD; DOON VALLEY DR; 180 M,3/7/2019 1:18:11 PM,,
46053,17-002918,1483602480000,2017,1,5,7,48,0,Thursday,543534.36245,4812950.34659,-80.46179,43.468208,Non intersection,1,Non-fatal injury,Thru lane,unknown,unknown,Approaching,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,SHIRLEY AVE; SHIRLEY AVE ; Near; 3 M,3/7/2019 1:18:10 PM,,
46054,17-003124,1483563600000,2017,1,4,21,0,0,Wednesday,543323.82539,4809048.6119,-80.464703,43.433088999999995,At/near private drive,2,Non-reportable,Thru lane,unknown,unknown,Other,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Drifting Snow,,False,CORNELL AVE; CORNELL AVE; At,3/7/2019 1:18:09 PM,,
46055,17-003261,1483455600000,2017,1,3,15,0,0,Tuesday,540074.58314,4809904.77162,-80.504786,43.440979,Non intersection,2,P.D. only,Thru lane,unknown,unknown,SMV unattended vehicle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Rain,,False,PATRICIA AVE; PATRICIA AVE; Near,3/7/2019 1:18:07 PM,,
46056,17-003368,1483385400000,2017,1,2,19,30,0,Monday,545806.09042,4803954.90634,-80.434461,43.387077999999995,At/near private drive,2,Non-reportable,Right shoulder,unknown,unknown,SMV unattended vehicle,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,DOON MILLS DR; DOON MILLS DR ; Near,3/7/2019 1:18:06 PM,,
46057,17-003404,1483561200000,2017,1,4,20,20,0,Wednesday,542062.27233,4807847.21618,-80.48038199999999,43.422343,At/near private drive,2,Non-reportable,Right shoulder,unknown,unknown,SMV unattended vehicle,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,APPALACHIAN CRES; APPALACHIAN CRES; At,3/7/2019 1:18:05 PM,,
