OBJECTID,ACCIDENTNUM,ACCIDENTDATE,ACCIDENT_YEAR,ACCIDENT_MONTH,ACCIDENT_DAY,ACCIDENT_HOUR,ACCIDENT_MINUTE,ACCIDENT_SECOND,ACCIDENT_WEEKDAY,XCOORD,YCOORD,LONGITUDE,LATITUDE,ACCIDENTLOCATION,COLLISIONTYPE,CLASSIFICATIONOFACCIDENT,IMPACTLOCATION,INITIALDIRECTIONOFTRAVELONE,INITIALDIRECTIONOFTRAVELTWO,INITIALIMPACTTYPE,INTTRAFFICCONTROL,LIGHT,LIGHTFORREPORT,ROADJURISDICTION,TRAFFICCONTROL,TRAFFICCONTROLCONDITION,THRULANENO,NORTHBOUNDDISOBEYCOUNT,SOUTHBOUNDDISOBEYCOUNT,PEDESTRIANINVOLVED,CYCLISTINVOLVED,MOTORCYCLISTINVOLVED,ENVIRONMENTCONDITION1,ENVIRONMENTCONDITION2,SELFREPORTED,XMLIMPORTNOTES,LASTEDITEDDATE,CREATE_BY,CREATE_DATE
44757,16-000325,1451651460000,2016,1,1,12,31,0,Friday,536335.84687,4808962.81654,-80.551048,43.432688,Non intersection,2,P.D. only,Thru lane,unknown,unknown,SMV unattended vehicle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Snow,,False,HUCK CRES; 294 HUCK CR; At; 0 M,3/4/2020 10:17:10 AM,,
44758,16-000330,1451610000000,2016,1,1,1,0,0,Friday,539812.23533,4805644.29432,-80.508338,43.402631,At/near private drive,2,P.D. only,Thru lane,unknown,unknown,SMV unattended vehicle,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,COPPER LEAF CRES; COPPER LEAF CRES,3/4/2020 10:17:10 AM,,
44759,16-000393,1451652600000,2016,1,1,12,50,0,Friday,538935.48118,4807836.61942,-80.519009,43.422416999999996,Non intersection,2,P.D. only,Right shoulder,unknown,unknown,SMV other,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Snow,,False,FOREST GLEN CRES; FORESTWOOD DR; 200 M,3/4/2020 10:17:09 AM,,
44760,16-000423,1451661900000,2016,1,1,15,25,0,Friday,538616.61878,4808812.00789,-80.522879,43.431216,Non intersection,1,Non-fatal injury,Thru lane,unknown,unknown,Sideswipe,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,OVERLEA DR; OVERLEA CRES ; 20 M,3/4/2020 10:17:08 AM,,
44761,16-000511,1451672400000,2016,1,1,18,20,0,Friday,541068.0,4811108.0,0.0,0.0,Non intersection,1,Non-fatal injury,Not on roadway - right side,unknown,unknown,SMV other,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Snow,,False,BIRCH AVE; 55 BIRCH AVE ; At; 5 M,3/4/2020 10:17:08 AM,,
44762,16-000523,1451674200000,2016,1,1,18,50,0,Friday,537591.19453,4808596.2002,-80.535563,43.429325,Non intersection,2,P.D. only,Thru lane,unknown,unknown,SMV unattended vehicle,Unknown,Dark,07 - Dark,Regional municipality,No control,unknown,0,0,0,False,False,False,Snow,,False,BANKSIDE DR; BANKSIDE CRES ; Near; 15 M,3/4/2020 10:17:07 AM,,
44763,16-000912,1451678400000,2016,1,1,20,0,0,Friday,541068.0,4811108.0,0.0,0.0,Intersection related,1,Non-fatal injury,Thru lane,unknown,unknown,Rear end,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),Traffic signal,Functioning,0,0,0,False,False,False,Snow,,False,FRANKLIN ST S; KINGSWAY DR; Near,3/4/2020 10:17:06 AM,,
44764,16-001240,1451777640000,2016,1,2,23,34,0,Saturday,541068.0,4811108.0,0.0,0.0,Non intersection,2,P.D. only,Not on roadway - left side,unknown,unknown,SMV other,Unknown,Dark,07 - Dark,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Snow,,False,OLYMPIC DR; PATTADON AV; 50 M,3/4/2020 10:17:05 AM,,
44765,16-001272,1451781600000,2016,1,3,0,40,0,Sunday,541068.0,4811108.0,0.0,0.0,At/near private drive,2,P.D. only,Thru lane,unknown,unknown,SMV unattended vehicle,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,GRULKE ST ; 156 GRULKE ST; At; 1 M,3/4/2020 10:17:05 AM,,
44766,16-001681,1451838900000,2016,1,3,16,35,0,Sunday,544760.64457,4811447.05693,-80.446754,43.4546,Intersection related,1,Non-fatal injury,Thru lane,unknown,unknown,Rear end,Unknown,Daylight,01 - Daylight,Regional municipality,Traffic signal,Functioning,0,0,0,False,False,False,Clear,,False,RIVER RD E; HICKSON DR; 25 M,3/4/2020 10:17:04 AM,,
44767,16-002048,1451898540000,2016,1,4,9,9,0,Monday,541068.0,4811108.0,0.0,0.0,Non intersection,2,Non-reportable,Right shoulder,unknown,unknown,SMV unattended vehicle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,ONTARIO ST N; DUKE ST W; Near; 10 M,3/4/2020 10:17:03 AM,,
44768,16-002214,1451913060000,2016,1,4,13,11,0,Monday,541231.24072,4810948.64256,-80.490414,43.450314999999996,At intersection,2,P.D. only,Within intersection,unknown,unknown,Rear end,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),Traffic signal,Functioning,0,0,0,False,False,False,Clear,,False,ONTARIO ST N; KING ST W; At,3/4/2020 10:17:03 AM,,
44769,16-002221,1451913300000,2016,1,4,13,15,0,Monday,543799.87537,4812589.12782,-80.45853699999999,43.46494,At intersection,2,P.D. only,Within intersection,unknown,unknown,Turning movement,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,FREDERICK ST; AVON RD; At,3/4/2020 10:17:02 AM,,
